"Species","Continent","Serrated.Smooth","Hairy.Non.hairy","Waxy.Non.waxy","Compound.Simple","Central.Auxiliary","Leaf.Length","Leaf.Width"
"Freylinia Lanceolata","Africa","0","0","0","0","0",80.1,7.2
"Cestrum psittacinum","Americas","0","0","0","0","0",117.2,46.6
"Cuphea ignea","Americas","0","0","0","0","0",34,16.1
"Deppea splendens","Americas","0","0","0","0","0",144.7,57
"Dichroa x aff. versicolor","Asia","0","0","0","0","0",111.9,43.9
"Correa 'Dusky bells'","Australia","0","0","0","0","0",38.6,21
"Correa 'Dusky Bells'","Australia","0","0","0","0","0",30.7,17.7
"Hardenbergia comptoniana","Australia","0","0","0","0","0",88.8,33.4
"Melaleuca wimmerensis","Australia","0","0","0","0","0",74.9,7.3
"Rhododendron formosum","Himalayas","0","0","0","0","0",53.6,14.6
"Corokia x virgata","New Zealand","0","0","0","0","0",32.8,21.5
"Fuchsia procumbens","New Zealand","0","0","0","0","0",161,17.2
"Libertia grandiflora","New Zealand","0","0","0","0","0",757.8,14.9
"Hakea multilineata","Western Australia","0","0","0","0","0",176.5,9.3
"Hardenbergia comptoniana","Western Australia","0","0","0","0","0",85.7,23.6
"Stylidium adnatum","Western Australia","0","0","0","0","0",6.1,1.6
"Melianthus comosus","Africa","1","0","0","0","0",69.1,26.2
"Eupatorium riparium","Americas","1","0","0","0","0",79,32.8
"Salvia apiana","Americas","1","0","0","0","0",108.5,33.9
"Salvia divinorum","Americas","1","0","0","0","0",192,74.7
"Salvia purpurea","Americas","1","0","0","0","0",115.2,66.6
"Hibiscus hamabo","Asia","1","0","0","0","0",81.3,103.4
"Banksia spinulosa","Australia","1","0","0","0","0",62.7,6.5
"Dichroa versicolor","Himalayas","1","0","0","0","0",275,127.9
"Fuchsia procumbens","New Zealand","1","0","0","0","0",16.7,17
"Dombeya rotundifolia","Africa","0","1","0","0","0",68.8,72.5
"Cestrum fasciculatum","Americas","0","1","0","0","0",103.9,48.5
"Phymosia rosea","Americas","0","1","0","0","0",156.6,190.8
"Tibouchina urvilleana","Americas","0","1","0","0","0",158.5,88
"Tradescantia standleyi","Americas","0","1","0","0","0",105.7,40.5
"Correa alba","Australia","0","1","0","0","0",27.9,21.1
"Brugmansia fantasticos","Himalayas","0","1","0","0","0",106.2,45.7
"Persicaria capitata","Himalayas","0","1","0","0","0",51.35,28.75
"Thomasia solanacea","Western Australia","0","1","0","0","0",54.2,57.7
"Plectranthus barbatus var. grandis","Africa","1","1","0","0","0",43.4,30.2
"Cuphea ignea","Americas","1","1","0","0","0",74.3,44.3
"Fuchsia fulgens","Americas","1","1","0","0","0",115.9,88
"Salvia elegans","Americas","1","1","0","0","0",30,16.4
"Salvia purpurea","Americas","1","1","0","0","0",118.4,77.8
"Callicarpa aff. tomentosa","Asia","1","1","0","0","0",225,156.8
"Gold Fuchsia Pentastemonoldes","Asia","1","1","0","0","0",165.5,64.3
"Hibiscus hamabo","Asia","1","1","0","0","0",73.7,81
"Plectranthus argentatus","Australia","1","1","0","0","0",36.4,5
"Strobilanthes glutinosus","Himalayas","1","1","0","0","0",133.65,67.1
"Calothamnus sanguineus","Western Australia","1","1","0","0","0",23.6,0.7
"Hibbertia grossulariifolia","Western Australia","1","1","0","0","0",49.7,26.3
"Melaleucea quadrifida","Western Australia","1","1","0","0","0",23,1.1
"Acridocarpus natalitius","Africa","0","0","1","0","0",77.7,25.6
"Afrocarpus falcatus","Africa","0","0","1","0","0",412,6.8
"Aristea compressa","Africa","0","0","1","0","0",174.6,13.3
"Erica verticillata","Africa","0","0","1","0","0",6.1,0.6
"Greyia radlkoferi","Africa","0","0","1","0","0",170.9,145.9
"Pterocelastrus tricuspidatus","Africa","0","0","1","0","0",47.7,28.2
"Hibiscus splendens","Americas","0","0","1","0","0",115.9,48.8
"Agapetes","Asia","0","0","1","0","0",245.4,104.3
